subject,activity,dataset,set,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
uci_subject_1,standing,UCI_HAR,train,0.28858451,-0.020294171,-0.13290514,-0.9952786,-0.98311061,-0.91352645,-0.99511208,-0.98318457,-0.92352702,-0.93472378
uci_subject_1,standing,UCI_HAR,train,0.27841883,-0.016410568,-0.12352019,-0.99824528,-0.97530022,-0.96032199,-0.99880719,-0.97491437,-0.95768622,-0.94306751
uci_subject_1,standing,UCI_HAR,train,0.27965306,-0.019467156,-0.11346169,-0.99537956,-0.96718701,-0.97894396,-0.99651994,-0.96366837,-0.97746859,-0.93869155
uci_subject_1,standing,UCI_HAR,train,0.27917394,-0.026200646,-0.12328257,-0.99609149,-0.9834027,-0.9906751,-0.99709947,-0.98274984,-0.9893025,-0.93869155
uci_subject_1,standing,UCI_HAR,train,0.27662877,-0.016569655,-0.11536185,-0.99813862,-0.98081727,-0.99048163,-0.99832113,-0.97967187,-0.99044113,-0.94246912
uci_subject_1,standing,UCI_HAR,train,0.27719877,-0.01009785,-0.10513725,-0.99733496,-0.99048681,-0.99542003,-0.9976274,-0.99021769,-0.9955489,-0.94246912
uci_subject_1,standing,UCI_HAR,train,0.27945388,-0.019640776,-0.11002215,-0.99692104,-0.96718593,-0.98311783,-0.99700268,-0.96609671,-0.98311627,-0.94098663
uci_subject_1,standing,UCI_HAR,train,0.27743247,-0.030488303,-0.12536043,-0.99655926,-0.96672843,-0.98158533,-0.99648525,-0.96631315,-0.98298176,-0.94098663
uci_subject_1,standing,UCI_HAR,train,0.27729342,-0.021750698,-0.12075082,-0.99732847,-0.96124532,-0.98367156,-0.99759576,-0.95723623,-0.98437928,-0.94059758
uci_subject_1,standing,UCI_HAR,train,0.28058569,-0.0099602983,-0.10606516,-0.99480344,-0.9727584,-0.98624387,-0.99540462,-0.97366322,-0.98564195,-0.94002751
uci_subject_1,standing,UCI_HAR,train,0.27688027,-0.012721805,-0.10343832,-0.99481511,-0.97307692,-0.98535702,-0.99550927,-0.97394796,-0.98517247,-0.94002751
uci_subject_1,standing,UCI_HAR,train,0.27622817,-0.021441302,-0.10820234,-0.99824595,-0.98721376,-0.99272659,-0.99825127,-0.98599654,-0.99318188,-0.94390578
uci_subject_1,standing,UCI_HAR,train,0.278457,-0.020414761,-0.11273172,-0.99913488,-0.98468004,-0.99627424,-0.99907654,-0.98293702,-0.99641031,-0.94390578
uci_subject_1,standing,UCI_HAR,train,0.27717497,-0.014712802,-0.10675647,-0.99918834,-0.99052638,-0.99336501,-0.99921135,-0.99068725,-0.99216753,-0.94332286
uci_subject_1,standing,UCI_HAR,train,0.29794572,0.027093908,-0.061668123,-0.98864079,-0.8166986,-0.90190653,-0.98895795,-0.79428042,-0.8880146,-0.92597669
uci_subject_1,standing,UCI_HAR,train,0.27920345,-0.023020143,-0.12208028,-0.99683904,-0.97484812,-0.98338551,-0.99709389,-0.97333193,-0.98406535,-0.9417158
uci_subject_1,standing,UCI_HAR,train,0.27903836,-0.014800378,-0.11684896,-0.99694116,-0.98186562,-0.98257653,-0.99721998,-0.98161964,-0.98133604,-0.9417158
uci_subject_1,standing,UCI_HAR,train,0.2801349,-0.013916951,-0.10637048,-0.99769492,-0.98751567,-0.99040744,-0.99801432,-0.98795448,-0.99219012,-0.94207598
uci_subject_1,standing,UCI_HAR,train,0.27773106,-0.018210718,-0.10918803,-0.99749074,-0.99322197,-0.99612795,-0.99790305,-0.99271072,-0.99649182,-0.94487012
uci_subject_1,standing,UCI_HAR,train,0.27556818,-0.016979698,-0.11142918,-0.99781139,-0.9905223,-0.99762104,-0.99820522,-0.98946983,-0.99719303,-0.94566163
uci_subject_1,standing,UCI_HAR,train,0.27756171,-0.014318487,-0.10787724,-0.99790424,-0.99431129,-0.99595166,-0.99836517,-0.99360447,-0.99559481,-0.94147242
uci_subject_1,standing,UCI_HAR,train,0.27715238,-0.017983328,-0.10660117,-0.99776322,-0.98995727,-0.99658567,-0.99829082,-0.9896687,-0.99670045,-0.94147242
uci_subject_1,standing,UCI_HAR,train,0.2756763,-0.021264234,-0.11080122,-0.99786211,-0.99009076,-0.99459257,-0.99833345,-0.98947266,-0.99448451,-0.94456672
uci_subject_1,standing,UCI_HAR,train,0.2792002,-0.017714427,-0.10916135,-0.99838929,-0.98730784,-0.99083159,-0.99886852,-0.98677131,-0.98963739,-0.94367519
uci_subject_1,standing,UCI_HAR,train,0.28171549,-0.011910678,-0.10287513,-0.99853388,-0.98848901,-0.99318367,-0.99867433,-0.98854392,-0.99328718,-0.94255883
uci_subject_1,standing,UCI_HAR,train,0.27899267,-0.014531029,-0.10659617,-0.99805969,-0.98606983,-0.99342424,-0.99805916,-0.98519239,-0.99501788,-0.94255883
uci_subject_1,standing,UCI_HAR,train,0.27573444,-0.01801884,-0.10677578,-0.99925496,-0.99366888,-0.9941888,-0.99940654,-0.99362014,-0.99358295,-0.94288961
uci_subject_1,sitting,UCI_HAR,train,0.14450396,0.18926326,0.062769317,-0.90429967,-0.18193654,-0.44315051,-0.90110019,-0.11081268,-0.40059935,-0.93189578
uci_subject_1,sitting,UCI_HAR,train,0.28725164,-0.037455064,-0.14597431,-0.98291504,-0.89160489,-0.94143811,-0.98441781,-0.89137296,-0.93336072,-0.93189578
uci_subject_1,sitting,UCI_HAR,train,0.2799976,-0.019484036,-0.10572355,-0.99281839,-0.94035041,-0.98149266,-0.99309238,-0.93692706,-0.9806691,-0.935389
uci_subject_1,sitting,UCI_HAR,train,0.22184689,0.034107675,-0.12361242,-0.81470826,-0.749418,-0.57189889,-0.87868152,-0.77689463,-0.70070978,-0.73715155
uci_subject_1,sitting,UCI_HAR,train,-0.041701306,0.17510248,0.025551778,-0.75839283,-0.58653735,-0.43911019,-0.77411817,-0.5553503,-0.43873576,-0.73715155
uci_subject_1,sitting,UCI_HAR,train,0.013903671,0.15329608,0.016242945,-0.80863778,-0.57274619,-0.62641542,-0.80621297,-0.5338107,-0.57939359,-0.91606376
uci_subject_1,sitting,UCI_HAR,train,0.30368927,-0.0042428053,-0.15085028,-0.95650333,-0.83867155,-0.94300953,-0.96200594,-0.84482083,-0.93719466,-0.91606376
uci_subject_1,sitting,UCI_HAR,train,0.29075969,-0.02403476,-0.11673889,-0.97737449,-0.96384053,-0.96250503,-0.9776306,-0.95938205,-0.96225396,-0.91682527
uci_subject_1,sitting,UCI_HAR,train,0.27090823,-0.014412968,-0.10652245,-0.99385604,-0.9931787,-0.9934703,-0.993878,-0.99213086,-0.99278814,-0.9416171
uci_subject_1,sitting,UCI_HAR,train,0.2795534,-0.017001147,-0.11051668,-0.99607594,-0.99578152,-0.99822168,-0.99628687,-0.99636995,-0.99903649,-0.9416171
uci_subject_1,sitting,UCI_HAR,train,0.27635864,-0.016138088,-0.10803259,-0.99557733,-0.99454385,-0.99454372,-0.99623837,-0.99420125,-0.99540731,-0.93831151
uci_subject_1,sitting,UCI_HAR,train,0.23715407,0.0078251224,-0.12283791,-0.97995358,-0.86619341,-0.96829047,-0.98017878,-0.88231587,-0.96609671,-0.93963693
uci_subject_1,sitting,UCI_HAR,train,0.2731084,0.0065181116,-0.10947182,-0.99078294,-0.93506515,-0.99072156,-0.99249787,-0.92856262,-0.98958434,-0.93963693
uci_subject_1,sitting,UCI_HAR,train,0.28150539,-0.018434859,-0.11139287,-0.99546804,-0.98433022,-0.99099514,-0.99597751,-0.98230937,-0.99028357,-0.93978877
uci_subject_1,sitting,UCI_HAR,train,0.27843225,-0.019654302,-0.10797029,-0.99439029,-0.98456278,-0.99198578,-0.99505023,-0.98452195,-0.99261705,-0.93978877
uci_subject_1,sitting,UCI_HAR,train,0.2733796,-0.0099401064,-0.10839283,-0.9955058,-0.98176748,-0.99347363,-0.99570639,-0.98091907,-0.99486368,-0.94012022
uci_subject_1,sitting,UCI_HAR,train,0.27905615,-0.01626097,-0.11281565,-0.99501877,-0.97044631,-0.98926612,-0.99481764,-0.96514978,-0.99024636,-0.94171541
uci_subject_1,sitting,UCI_HAR,train,0.2785991,-0.019910142,-0.1111806,-0.99474489,-0.97949566,-0.98796152,-0.9944187,-0.97734899,-0.9876041,-0.94171541
uci_subject_1,sitting,UCI_HAR,train,0.27328142,-0.011127209,-0.10634926,-0.9958764,-0.9891107,-0.99341322,-0.99614139,-0.98804909,-0.99153911,-0.942012
uci_subject_1,sitting,UCI_HAR,train,0.27853812,-0.016173432,-0.10970656,-0.99664602,-0.98297482,-0.99479797,-0.99694978,-0.98185178,-0.99345774,-0.9432431
uci_subject_1,sitting,UCI_HAR,train,0.27746121,-0.017491016,-0.10635945,-0.99642843,-0.98467312,-0.99068266,-0.99673775,-0.98315067,-0.98933801,-0.93857257
uci_subject_1,sitting,UCI_HAR,train,0.27394057,-0.013147584,-0.10543517,-0.99588454,-0.98801293,-0.98842553,-0.99654303,-0.98673408,-0.98773683,-0.93857257
uci_subject_1,sitting,UCI_HAR,train,0.27930326,-0.020521383,-0.11323643,-0.99584854,-0.98070075,-0.99340381,-0.99610117,-0.97956875,-0.99291311,-0.94068373
uci_subject_1,sitting,UCI_HAR,train,0.2790872,-0.019083242,-0.10588882,-0.99572983,-0.97896723,-0.99139401,-0.99610425,-0.976663,-0.99058829,-0.94068373
uci_subject_1,lying,UCI_HAR,train,0.40347433,-0.015074404,-0.11816739,-0.91481115,-0.89523112,-0.89174811,-0.91769589,-0.92462354,-0.90589478,-0.78510398
uci_subject_1,lying,UCI_HAR,train,0.27837321,-0.020560964,-0.096824565,-0.98488259,-0.99111837,-0.98211178,-0.98798454,-0.99036228,-0.98218934,-0.92005119
uci_subject_1,lying,UCI_HAR,train,0.27655526,-0.01786855,-0.10762126,-0.9941946,-0.99637166,-0.99561514,-0.99490115,-0.99635992,-0.99662796,-0.94016395
uci_subject_1,lying,UCI_HAR,train,0.27957476,-0.017275722,-0.10948053,-0.99613535,-0.99581156,-0.99868915,-0.99639333,-0.99547449,-0.99900593,-0.94077317
uci_subject_1,lying,UCI_HAR,train,0.27652699,-0.0168191,-0.10798311,-0.99677544,-0.99725636,-0.99542164,-0.99716687,-0.99710766,-0.99573929,-0.94267266
uci_subject_1,lying,UCI_HAR,train,0.27812334,-0.017146303,-0.10801374,-0.99492812,-0.99835905,-0.99201143,-0.99558636,-0.99807662,-0.9925905,-0.93897407
uci_subject_1,lying,UCI_HAR,train,0.27800654,-0.01780317,-0.10896485,-0.9944254,-0.99487263,-0.99488582,-0.99493879,-0.99399421,-0.99545035,-0.93897407
uci_subject_1,lying,UCI_HAR,train,0.2802064,-0.01839626,-0.10748863,-0.99647493,-0.99406876,-0.99186131,-0.99729491,-0.99433838,-0.9934396,-0.93945264
uci_subject_1,lying,UCI_HAR,train,0.28182774,-0.018626474,-0.10527824,-0.99628711,-0.99219394,-0.99020448,-0.99725464,-0.99292709,-0.99099603,-0.93844914
uci_subject_1,lying,UCI_HAR,train,0.27672941,-0.017209548,-0.10563797,-0.99478811,-0.99103132,-0.99318722,-0.99588986,-0.99062488,-0.99279474,-0.93345851
uci_subject_1,lying,UCI_HAR,train,0.27588359,-0.016150309,-0.10882921,-0.99551063,-0.99554804,-0.9940008,-0.99615034,-0.99534413,-0.99387899,-0.93345851
uci_subject_1,lying,UCI_HAR,train,0.27783021,-0.017684054,-0.1057035,-0.99614315,-0.99596875,-0.9948886,-0.99637502,-0.99564634,-0.99397374,-0.93988139
uci_subject_1,lying,UCI_HAR,train,0.27937115,-0.017644953,-0.10818111,-0.99523683,-0.99581009,-0.99443045,-0.99551468,-0.99533814,-0.99371997,-0.93922131
uci_subject_1,lying,UCI_HAR,train,0.019016151,-0.0070373566,-0.028333356,-0.66129361,-0.71335257,-0.70115517,-0.69394813,-0.70655751,-0.75542184,-0.89128356
uci_subject_1,lying,UCI_HAR,train,0.3402085,-0.036452984,-0.10625819,-0.95859648,-0.90805582,-0.98466948,-0.95685496,-0.89849385,-0.98713876,-0.89128356
uci_subject_1,lying,UCI_HAR,train,-0.16642569,-0.11935251,0.13303497,-0.63313536,-0.18977503,-0.31933629,-0.6238043,-0.19967526,-0.28108829,-0.92520798
uci_subject_1,lying,UCI_HAR,train,-0.23910256,-0.096904391,0.14803461,-0.63732529,-0.12769222,-0.25892403,-0.64364219,-0.13855081,-0.23963371,-0.87814885
uci_subject_1,lying,UCI_HAR,train,0.34696848,0.069408647,-0.20082552,-0.80390335,-0.74174219,-0.60538234,-0.82688969,-0.74565636,-0.60266917,-0.83056066
uci_subject_1,lying,UCI_HAR,train,0.30383319,0.1036482,-0.24533103,-0.75599409,-0.64257064,-0.6955007,-0.7675366,-0.7099778,-0.73046383,-0.71708111
uci_subject_1,lying,UCI_HAR,train,-0.36120533,-0.26812111,0.17689637,-0.59939182,0.53250573,0.0043240256,-0.66410777,0.50226025,0.048471827,-0.71708111
uci_subject_1,lying,UCI_HAR,train,-0.27706634,-0.68409659,0.34665772,-0.59641047,0.024682958,-0.16040449,-0.6318195,-0.068856732,-0.23515959,-0.86629617
uci_subject_1,lying,UCI_HAR,train,0.2574765,-0.41386534,0.017374188,-0.91966606,0.075259481,-0.63071563,-0.93798609,0.17679647,-0.61351033,-0.86629617
uci_subject_1,lying,UCI_HAR,train,0.27683965,-0.02714766,-0.1231748,-0.97739515,-0.58759988,-0.97067028,-0.97843806,-0.60745905,-0.96788449,-0.92048585
uci_subject_1,lying,UCI_HAR,train,0.26865095,0.016430154,-0.10372571,-0.98569313,-0.89590544,-0.98819508,-0.98739438,-0.88786675,-0.98850487,-0.92994293
